Date,Description,Amount
2026-08-06,RENT - PROPERTY MGMT,-2850.00
2026-08-04,PAYROLL DIRECT DEP,6820.00
2026-08-03,NETFLIX.COM,-24.99
2026-08-03,GRUBHUB*PIZZA CO,-47.61
2026-08-02,DOORDASH*THAI BASIL,-28.04
2026-08-01,COSTCO WHSE #1043,-170.76
2026-07-29,SPOTIFY USA,-19.99
2026-07-26,COMCAST XFINITY,-89.99
2026-07-23,VERIZON WIRELESS,-95.00
2026-07-21,TARGET 00021874,-43.29
2026-07-21,DOORDASH*THAI BASIL,-56.44
2026-07-20,CVS/PHARMACY #8821,-10.00
2026-07-17,ADOBE *CREATIVE CLOUD,-59.99
2026-07-15,CHASE OVERDRAFT FEE,-35.00
2026-07-11,LYFT *RIDE WED,-66.77
2026-07-10,DOORDASH*RAMEN YA,-55.87
2026-07-10,UBER *TRIP 8H2K,-36.27
2026-07-09,WALGREENS #4410,-39.70
2026-07-08,COSTCO WHSE #1043,-154.33
2026-07-07,RENT - PROPERTY MGMT,-2850.00
2026-07-05,PAYROLL DIRECT DEP,6820.00
2026-07-04,NETFLIX.COM,-24.99
2026-06-29,SPOTIFY USA,-19.99
2026-06-26,COMCAST XFINITY,-89.99
2026-06-26,TRADER JOES #182,-70.55
2026-06-23,VERIZON WIRELESS,-95.00
2026-06-20,ATM SURCHARGE FEE,-3.50
2026-06-19,DOORDASH*THAI BASIL,-57.06
2026-06-17,ADOBE *CREATIVE CLOUD,-59.99
2026-06-17,BEST BUY #1183,-178.50
2026-06-14,COSTCO WHSE #1043,-201.84
2026-06-12,DOORDASH*RAMEN YA,-58.56
2026-06-08,GRUBHUB*PIZZA CO,-27.43
2026-06-07,RENT - PROPERTY MGMT,-2850.00
2026-06-07,CHASE OVERDRAFT FEE,-35.00
2026-06-07,TARGET 00021874,-223.48
2026-06-06,MARRIOTT HOTELS,-817.37
2026-06-06,SAFEWAY #2891,-48.65
2026-06-05,PAYROLL DIRECT DEP,6820.00
2026-06-04,NETFLIX.COM,-24.99
2026-05-30,SPOTIFY USA,-19.99
2026-05-28,SHELL OIL 5748,-62.18
2026-05-27,COMCAST XFINITY,-89.99
2026-05-25,EQUINOX SF UNION,-305.00
2026-05-25,DOORDASH*RAMEN YA,-28.93
2026-05-24,VERIZON WIRELESS,-95.00
2026-05-21,COSTCO WHSE #1043,-146.88
2026-05-21,TRADER JOES #182,-118.86
2026-05-20,SHELL OIL 5748,-55.98
2026-05-18,ADOBE *CREATIVE CLOUD,-59.99
2026-05-13,STARBUCKS STORE 0921,-15.92
2026-05-13,UBER *TRIP 8H2K,-67.61
2026-05-11,FOREIGN TRANSACTION FEE,-12.40
